key,en,ml
step3_waist_use_male,Use male thresholds,പുരുഷന്മാരുടെ പരിധികൾ ഉപയോഗിക്കുക
step3_waist_select_note,We ask this only to calculate the checklist score.,ചെക്ക്‌ലിസ്റ്റ് സ്കോർ കണക്കാക്കാൻ മാത്രമാണ് ഞങ്ങൾ ഇത് ചോദിക്കുന്നത്.
step3_waist_placeholder,Enter waist circumference in cm,cm-ൽ അരക്കെട്ടിന്റെ ചുറ്റളവ് നൽകുക
step3_waist_thresholds,"Thresholds: Normal ≤{{low}} cm, Elevated {{lowPlus}}-{{high}} cm, High >{{high}} cm","പരിധികൾ: സാധാരണ ≤{{low}} cm, ഉയർന്നത് {{lowPlus}}-{{high}} cm, വളരെ ഉയർന്നത് >{{high}} cm"
step3_family_history_label,"Family history of diabetes, hypertension, or heart disease?","കുടുംബത്തിൽ ആർക്കെങ്കിലും പ്രമേഹം, രക്താതിമർദ്ദം, ഹൃദ്രോഗം എന്നിവ ഉണ്ടോ?"
step3_family_history_no,No,ഇല്ല
step3_family_history_yes,Yes,ഉണ്ട്
step3_score_label,Your CBAC Score,നിങ്ങളുടെ CBAC സ്കോർ
step3_score_higher_risk,Higher risk,ഉയർന്ന അപകടസാധ്യത
step3_score_lower_risk,Lower risk,കുറഞ്ഞ അപകടസാധ്യത
step3_score_high_note,Score > 4 indicates higher NCD risk. Please consult a doctor for evaluation.,സ്കോർ > 4: ജീവിതശൈലീ രോഗങ്ങൾക്ക് സാധ്യതയുണ്ട്. ദയവായി ഡോക്ടറെ കണ്ട് പരിശോധന നടത്തുക.
step3_score_low_note,Score ≤ 4 indicates lower risk. Continue with healthy habits.,സ്കോർ ≤ 4: സാധ്യത കുറവാണ്. നല്ല ശീലങ്ങൾ തുടരുക.
step3_high_risk_alert_title,Higher risk detected,ഉയർന്ന അപകടസാധ്യത കണ്ടെത്തി
step3_high_risk_alert_description,Your score suggests higher risk for diabetes or hypertension. We recommend visiting the nearest Janakeeya Arogya Kendram for further evaluation.,നിങ്ങളുടെ സ്കോർ പ്രമേഹത്തിനോ രക്താതിമർദ്ദത്തിനോ ഉയർന്ന അപകടസാധ്യത സൂചിപ്പിക്കുന്നു. കൂടുതൽ വിലയിരുത്തലിനായി അടുത്തുള്ള ജനകീയ ആരോഗ്യ കേന്ദ്രം സന്ദർശിക്കാൻ ഞങ്ങൾ ശുപാർശ ചെയ്യുന്നു.
step4_title,Your Summary & Guidance,നിങ്ങളുടെ സംഗ്രഹവും മാർഗ്ഗനിർദ്ദേശവും
step4_subtitle_date,Assessment completed on {{date}},{{date}}-ന് വിലയിരുത്തൽ പൂർത്തിയായി
step4_consultation_title,We recommend consulting a doctor,ദയവായി ഒരു ഡോക്ടറെ കാണുക
step4_consultation_description,"Based on your assessment, please visit the nearest Janakeeya Arogya Kendram for further evaluation, or contact your ASHA for assistance.","നിങ്ങളുടെ വിവരങ്ങളുടെ അടിസ്ഥാനത്തിൽ, കൂടുതൽ പരിശോധനകൾക്കായി അടുത്തുള്ള ജനകീയ ആരോഗ്യ കേന്ദ്രം സന്ദർശിക്കുകയോ ആശാ വർക്കറെ സമീപിക്കുകയോ ചെയ്യുക."
step4_consultation_find_jak,Find nearby JAK,അടുത്തുള്ള JAK കണ്ടെത്തുക
step4_measurements_title,Measurements,അളവുകൾ
step4_measurements_bmi,BMI,BMI
step4_measurements_bp,Blood Pressure,രക്തസമ്മർദ്ദം
step4_measurements_sugar,Blood Sugar,രക്തത്തിലെ പഞ്ചസാര
step4_measurements_not_entered,Not entered,നൽകിയിട്ടില്ല
step4_risk_score_title,Risk Score,റിസ്ക് സ്കോർ
step4_cbac_score,CBAC Score,CBAC സ്കോർ
step4_key_advice_title,Key Advice,പ്രധാന ഉപദേശം
step4_advice_visit_jak,Please visit the nearest Janakeeya Arogya Kendram for NCD risk evaluation.,ജീവിതശൈലീ രോഗ സാധ്യത പരിശോധിക്കാൻ അടുത്തുള്ള ജനകീയ ആരോഗ്യ കേന്ദ്രം സന്ദർശിക്കുക.
step4_advice_tobacco,Consider seeking tobacco cessation support; reducing tobacco lowers risk over time.,പുകയില ഉപയോഗം നിർത്താൻ സഹായം തേടുക; പുകയില കുറയ്ക്കുന്നത് ഭാവിയിൽ രോഗസാധ്യത കുറയ്ക്കും.
step4_advice_alcohol,Reducing daily alcohol can improve long-term health; consider support services if needed.,ദിവസേനയുള്ള മദ്യപാനം കുറയ്ക്കുന്നത് ദീർഘകാല ആരോഗ്യം മെച്ചപ്പെടുത്തും; ആവശ്യമെങ്കിൽ പിന്തുണാ സേവനങ്ങൾ പരിഗണിക്കുക.
step4_advice_activity,"Aim for at least 150 minutes/week of moderate activity, starting gradually.","ആഴ്ചയിൽ കുറഞ്ഞത് 150 മിനിറ്റ് മിതമായ പ്രവർത്തനം ലക്ഷ്യമിടുക, ക്രമേണ ആരംഭിക്കുക."
step4_focus_areas_title,Your Focus Areas,നിങ്ങളുടെ ഫോക്കസ് മേഖലകൾ
step4_focus_areas_description,"Based on your answers, here are areas where small changes can help","നിങ്ങളുടെ ഉത്തരങ്ങളെ അടിസ്ഥാനമാക്കി, ചെറിയ മാറ്റങ്ങൾ സഹായിക്കുന്ന മേഖലകൾ ഇതാ"
step4_focus_tobacco,Tobacco,പുകയില
step4_focus_alcohol,Alcohol,മദ്യം
step4_focus_activity,Activity,പ്രവർത്തനം
step4_tobacco_guidance_title,Tobacco Cessation Support,പുകയില ഉപേക്ഷ പിന്തുണ
step4_tobacco_tip_1,Set a quit date and tell someone you trust,ഒരു ക്വിറ്റ് തീയതി നിശ്ചയിച്ച് വിശ്വസനീയമായ ഒരാളോട് പറയുക
step4_tobacco_tip_2,"Reduce triggers (after meals, stress moments)","പ്രേരകങ്ങളെ ഒഴിവാക്കുക (ഭക്ഷണത്തിന് ശേഷം, സമ്മർദ്ദമുള്ളപ്പോൾ)"
step4_tobacco_tip_3,Keep your hands busy with healthy alternatives,ആരോഗ്യകരമായ ബദലുകൾ ഉപയോഗിച്ച് കൈകൾ തിരക്കിലാക്കുക
step4_tobacco_tip_4,Ask at your nearest JAK about quit programs,ലഹരി വിമുക്ത പരിപാടികളെക്കുറിച്ച് അടുത്തുള്ള ആരോഗ്യ കേന്ദ്രത്തിൽ ചോദിക്കുക
step4_alcohol_guidance_title,Alcohol Reduction Support,മദ്യപാനം കുറയ്ക്കുന്നതിനുള്ള സഹായം
step4_alcohol_tip_1,Track how often you drink each week,ഓരോ ആഴ്ചയും നിങ്ങൾ എത്ര തവണ കുടിക്കുന്നു എന്ന് ട്രാക്ക് ചെയ്യുക
step4_alcohol_tip_2,Plan alcohol-free days and stick to them,"മദ്യരഹിത ദിനങ്ങൾ ആസൂത്രണം ചെയ്യുക, അവ പാലിക്കുക"
step4_alcohol_tip_3,Choose smaller portions when you do drink,കുടിക്കുമ്പോൾ ചെറിയ അളവ് തിരഞ്ഞെടുക്കുക
step4_alcohol_tip_4,Seek de-addiction support if cutting down is difficult,കുറയ്ക്കാൻ ബുദ്ധിമുട്ടാണെങ്കിൽ ഡി-അഡിക്ഷൻ പിന്തുണ തേടുക
step4_alcohol_support_note,Professional support is available if you find it difficult to reduce on your own.,സ്വയം കുറയ്ക്കാൻ ബുദ്ധിമുട്ടാണെങ്കിൽ പ്രൊഫഷണൽ പിന്തുണ ലഭ്യമാണ്.
step4_activity_guidance_title,Activity Plan,പ്രവർത്തന പദ്ധതി
step4_activity_starter_plan,Starter plan:,തുടക്കക്കാർക്കുള്ള പദ്ധതി:
step4_activity_week1,Week 1,ആഴ്ച 1
step4_activity_week1_plan,"10 minutes walking per day, 5 days/week","ദിവസവും 10 മിനിറ്റ് നടത്തം, ആഴ്ചയിൽ 5 ദിവസം"
step4_activity_week2,Week 2,ആഴ്ച 2
step4_activity_week2_plan,"15 minutes walking per day, 5 days/week","ദിവസവും 15 മിനിറ്റ് നടത്തം, ആഴ്ചയിൽ 5 ദിവസം"
step4_activity_week3,Week 3+,ആഴ്ച 3+
step4_activity_week3_plan,Build toward 150 minutes/week total,ആഴ്ചയിൽ ആകെ 150 മിനിറ്റിലേക്ക് എത്തുക
step4_activity_strength_tip,"Add strength: Try simple bodyweight exercises (squats, wall push-ups) 2 days/week for added benefit.","ശക്തി വർദ്ധിപ്പിക്കുക: ലളിതമായ വ്യായാമങ്ങൾ (സ്ക്വാറ്റുകൾ, വാൾ പുഷ്-അപ്പുകൾ) ആഴ്ചയിൽ 2 ദിവസം ചെയ്യുക."
step4_good_track_title,You're on a good track!,നിങ്ങൾ നല്ല വഴിയിലാണ്!
step4_good_track_description,"Keep up your healthy habits with regular physical activity, balanced diet, regular check-ups, and stress management.","വ്യായാമം, സമീകൃതാഹാരം, പതിവ് പരിശോധനകൾ, മാനസികാരോഗ്യം എന്നിവയിൽ ശ്രദ്ധ നൽകി മുന്നോട്ട് പോകുക."
step4_personalized_tips_title,Personalised Tips,വ്യക്തിഗത നുറുങ്ങുകൾ
step4_diet_tips,Diet Tips,ഭക്ഷണക്രമ നുറുങ്ങുകൾ
step4_activity_tips,Activity Tips,പ്രവർത്തന നുറുങ്ങുകൾ
step4_for_blood_sugar,For blood sugar:,രക്തത്തിലെ പഞ്ചസാരയ്ക്ക്:
step4_diet_underweight_1,Add nutrient-dense meals and snacks,പോഷകസമൃദ്ധമായ ഭക്ഷണങ്ങളും ലഘുഭക്ഷണങ്ങളും ചേർക്കുക
step4_diet_underweight_2,"Include protein sources daily (eggs, dal, milk, fish)","ദിവസവും പ്രോട്ടീൻ അടങ്ങിയ ഭക്ഷണം കഴിക്കുക (മുട്ട, പരിപ്പ്, പാൽ, മത്സ്യം)"
step4_diet_underweight_3,"Eat small, frequent meals","ചെറിയ, ഇടക്കിടെയുള്ള ഭക്ഷണം കഴിക്കുക"
step4_diet_overweight_1,Reduce sugary drinks and processed foods,മധുര പാനീയങ്ങളും സംസ്കരിച്ച ഭക്ഷണങ്ങളും കുറയ്ക്കുക
step4_diet_overweight_2,Fill half your plate with vegetables,പ്ലേറ്റിന്റെ പകുതി പച്ചക്കറികൾ കൊണ്ട് നിറയ്ക്കുക
step4_diet_overweight_3,Practice portion control,ഭക്ഷണത്തിന്റെ അളവ് ശ്രദ്ധിക്കുക
step4_diet_overweight_4,Choose whole grains over refined,റിഫൈൻഡ് ധാന്യങ്ങൾക്ക് പകരം തവിടുള്ള ധാന്യങ്ങൾ തിരഞ്ഞെടുക്കുക
step4_diet_normal_1,Maintain balanced meals with variety,വൈവിധ്യമാർന്ന സമീകൃത ഭക്ഷണം നിലനിർത്തുക
step4_diet_normal_2,Include fruits and vegetables daily,ദിവസവും പഴങ്ങളും പച്ചക്കറികളും ഉൾപ്പെടുത്തുക
step4_diet_normal_3,Stay hydrated with water,ധാരാളം വെള്ളം കുടിക്കുക
step4_sugar_tip_1,Choose whole grains over refined carbs,റിഫൈൻഡ് കാർബോഹൈഡ്രേറ്റുകൾക്ക് പകരം തവിടുള്ള ധാന്യങ്ങൾ തിരഞ്ഞെടുക്കുക
step4_sugar_tip_2,Limit sweets and sugary drinks,മധുരപലഹാരങ്ങളും മധുര പാനീയങ്ങളും പരിമിതപ്പെടുത്തുക
step4_sugar_tip_3,Don't skip meals; prefer steady meal timing,ഭക്ഷണം ഒഴിവാക്കരുത്; കൃത്യസമയത്ത് ഭക്ഷണം കഴിക്കുക
step4_sugar_tip_4,Consult a doctor for proper testing,ശരിയായ പരിശോധനയ്ക്കായി ഡോക്ടറെ സമീപിക്കുക
step4_activity_sedentary_1,Start with 10 minutes/day walking,ദിവസവും 10 മിനിറ്റ് നടത്തം ആരംഭിക്കുക
step4_activity_sedentary_2,Take short breaks from sitting every hour,"തുടർച്ചയായി ഇരിക്കുന്നത് ഒഴിവാക്കുക, ഇടയ്ക്ക് എഴുന്നേറ്റ് നടക്കുക"
step4_activity_sedentary_3,Use stairs when possible,സാധ്യമാകുമ്പോഴെല്ലാം പടികൾ ഉപയോഗിക്കുക
step4_activity_moderate_1,Add 1-2 longer walks per week,ആഴ്ചയിൽ 1-2 നീണ്ട നടത്തം ചേർക്കുക
step4_activity_moderate_2,Try to reach 150 minutes/week,ആഴ്ചയിൽ 150 മിനിറ്റ് എത്താൻ ശ്രമിക്കുക
step4_activity_moderate_3,"Include variety (walking, cycling, swimming)","വൈവിധ്യം ഉൾപ്പെടുത്തുക (നടത്തം, സൈക്ലിംഗ്, നീന്തൽ)"
step4_activity_adequate_1,Maintain your current routine,നിങ്ങളുടെ നിലവിലെ ദിനചര്യ നിലനിർത്തുക
step4_activity_adequate_2,Add strength exercises twice weekly,ആഴ്ചയിൽ രണ്ടുതവണ സ്ട്രെങ്ത് വ്യായാമങ്ങൾ ചേർക്കുക
step4_activity_adequate_3,Try new activities to stay motivated,പ്രചോദനം നിലനിർത്താൻ പുതിയ പ്രവർത്തനങ്ങൾ പരീക്ഷിക്കുക
step4_download_title,Download Summary (PDF),സംഗ്രഹം ഡൗൺലോഡ് (PDF)
step4_download_dialog_title,Download your summary,നിങ്ങളുടെ സംഗ്രഹം ഡൗൺലോഡ് ചെയ്യുക
step4_download_dialog_description,Generate a beautifully formatted PDF with all your assessment results.,നിങ്ങളുടെ എല്ലാ പരിശോധനാ ഫലങ്ങളും അടങ്ങിയ ഒരു PDF ഡൗൺലോഡ് ചെയ്യാം.
step4_download_includes,Your PDF will include:,നിങ്ങളുടെ PDF-ൽ ഉൾപ്പെടുന്നവ:
step4_download_includes_1,Body measurements & BMI,ശരീര അളവുകളും BMI-യും
step4_download_includes_2,Risk scores & interpretations,റിസ്ക് സ്കോറുകളും വ്യാഖ്യാനങ്ങളും
step4_download_includes_3,Personalised recommendations,വ്യക്തിഗത ശുപാർശകൾ
step4_download_includes_4,Diet & activity guidance,ഭക്ഷണക്രമവും പ്രവർത്തന മാർഗ്ഗനിർദ്ദേശവും
step4_download_privacy_note,The PDF will be saved on your device only. We don't store or see it.,PDF നിങ്ങളുടെ ഉപകരണത്തിൽ മാത്രമേ സേവ് ചെയ്യൂ. ഞങ്ങൾ അത് കാണുകയോ സൂക്ഷിക്കുകയോ ചെയ്യുന്നില്ല.
step4_download_success,PDF downloaded successfully!,PDF വിജയകരമായി ഡൗൺലോഡ് ചെയ്തു!
step4_download_success_desc,Check your downloads folder,നിങ്ങളുടെ ഡൗൺലോഡ് ഫോൾഡർ പരിശോധിക്കുക
step4_download_error,Failed to generate PDF,PDF സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെട്ടു
step4_download_error_desc,Please try again,ദയവായി വീണ്ടും ശ്രമിക്കുക
step5_title,Cancer symptom check,കാൻസർ ലക്ഷണ പരിശോധന
step5_subtitle,Early detection helps. Answer honestly — this is for your awareness.,നേരത്തെ കണ്ടെത്തൽ സഹായിക്കുന്നു. സത്യസന്ധമായി ഉത്തരം നൽകുക — ഇത് നിങ്ങളുടെ അവബോധത്തിനാണ്.
step5_general_symptoms_title,General symptoms,പൊതു ലക്ഷണങ്ങൾ
step5_general_symptoms_description,Have you experienced any of these in the past few months?,കഴിഞ്ഞ കുറച്ച് മാസങ്ങളിൽ ഇവയിലൊന്ന് അനുഭവിച്ചിട്ടുണ്ടോ?
step5_symptom_non_healing_ulcer,Non-healing ulcer (wound that doesn't heal for more than 2 weeks),ഉണങ്ങാത്ത വ്രണം (2 ആഴ്ചയിൽ കൂടുതൽ)
step5_symptom_lumps,Lumps or swellings anywhere in the body,ശരീരത്തിൽ എവിടെയെങ്കിലും മുഴകളോ വീക്കമോ
step5_symptom_difficulty_swallowing,Difficulty swallowing,വിഴുങ്ങാൻ ബുദ്ധിമുട്ട്
step5_symptom_voice_change,Change in voice (hoarseness lasting more than 2 weeks),ശബ്ദത്തിൽ മാറ്റം (2 ആഴ്ചയിൽ കൂടുതൽ)
step5_symptom_weight_loss,Unexplained weight loss,വിശദീകരിക്കാനാകാത്ത ശരീരഭാരം കുറയൽ
step5_symptom_blood_sputum,Blood in sputum (coughed-up mucus),കഫത്തിൽ രക്തം
step5_symptom_persistent_cough,Persistent cough (more than 2 weeks),തുടർച്ചയായ ചുമ (2 ആഴ്ചയിൽ കൂടുതൽ)
step5_women_symptoms_title,Women-specific symptoms,സ്ത്രീകൾക്ക് പ്രത്യേകമായ ലക്ഷണങ്ങൾ
step5_women_symptoms_description,Additional symptoms to check,പരിശോധിക്കേണ്ട അധിക ലക്ഷണങ്ങൾ
step5_symptom_breast_lump,Lump in the breast,മാറിടത്തിൽ മുഴ
step5_symptom_nipple_discharge,Nipple discharge (other than breast milk),മുലക്കണ്ണിൽ നിന്ന് സ്രവം (മുലപ്പാൽ അല്ലാതെ)
step5_symptom_breast_shape,Change in breast shape or size,മാറിടത്തിന്റെ ആകൃതിയിലോ വലുപ്പത്തിലോ മാറ്റം
step5_symptom_postmenopausal_bleeding,Bleeding after menopause,ആർത്തവവിരാമത്തിന് ശേഷം രക്തസ്രാവം
step5_symptom_bleeding_intercourse,Bleeding after intercourse,ലൈംഗിക ബന്ധത്തിന് ശേഷം രക്തസ്രാവം
step5_result_symptoms_title,Please consult a doctor,ഡോക്ടറെ സമീപിക്കുക
step5_result_symptoms_description,You reported one or more symptoms that need medical evaluation. Please consult a doctor at the nearest health facility for further evaluation. Early detection can make a significant difference.,മെഡിക്കൽ വിലയിരുത്തൽ ആവശ്യമായ ഒന്നോ അതിലധികമോ ലക്ഷണങ്ങൾ നിങ്ങൾ റിപ്പോർട്ട് ചെയ്തു. കൂടുതൽ വിലയിരുത്തലിനായി അടുത്തുള്ള ആരോഗ്യ കേന്ദ്രത്തിലെ ഡോക്ടറെ സമീപിക്കുക. നേരത്തെ കണ്ടെത്തൽ വലിയ വ്യത്യാസം ഉണ്ടാക്കും.
step5_result_no_symptoms_title,No symptoms reported,ലക്ഷണങ്ങൾ റിപ്പോർട്ട് ചെയ്തിട്ടില്ല
step5_result_no_symptoms_description,"Consider routine screening once every 5 years. If you notice new symptoms later, consult a health facility promptly.","5 വർഷത്തിലൊരിക്കൽ പതിവ് സ്ക്രീനിംഗ് പരിഗണിക്കുക. പിന്നീട് പുതിയ ലക്ഷണങ്ങൾ ശ്രദ്ധയിൽപ്പെട്ടാൽ, ഉടൻ ആരോഗ്യ കേന്ദ്രം സന്ദർശിക്കുക."
step5_breast_exam_title,Self-breast examination guide,സ്വയം മാറിട പരിശോധന ഗൈഡ്
step5_breast_exam_how_to,How to perform a self-breast examination:,സ്വയം മാറിട പരിശോധന എങ്ങനെ നടത്താം:
step5_breast_exam_step_1,Stand in front of a mirror with shoulders straight and arms on hips,തോളുകൾ നേരെയും കൈകൾ ഇടുപ്പിലും വച്ച് കണ്ണാടിക്ക് മുന്നിൽ നിൽക്കുക
step5_breast_exam_step_2,"Look for any changes in size, shape, or color of breasts","മാറിടങ്ങളുടെ വലുപ്പം, ആകൃതി, നിറം എന്നിവയിൽ മാറ്റങ്ങൾ നോക്കുക"
step5_breast_exam_step_3,Raise your arms and look for the same changes,കൈകൾ ഉയർത്തി അതേ മാറ്റങ്ങൾ നോക്കുക
step5_breast_exam_step_4,"While lying down, use your right hand to feel your left breast and vice versa","കിടക്കുമ്പോൾ, ഇടത് മാറിടം അനുഭവിക്കാൻ വലത് കൈ ഉപയോഗിക്കുക, തിരിച്ചും"
step5_breast_exam_step_5,"Use firm, smooth touches with finger pads in circular motions","വിരൽ പാഡുകൾ ഉപയോഗിച്ച് വൃത്താകൃതിയിൽ ഉറച്ച, മിനുസമായ സ്പർശനങ്ങൾ ഉപയോഗിക്കുക"
step5_breast_exam_step_6,"Cover the entire breast from top to bottom, side to side","മുകളിൽ നിന്ന് താഴേക്ക്, വശത്തുനിന്ന് വശത്തേക്ക് മുഴുവൻ മാറിടവും മൂടുക"
step5_breast_exam_step_7,"Feel your breasts while standing or sitting, such as in the shower",ഷവറിൽ എന്നപോലെ നിൽക്കുമ്പോഴോ ഇരിക്കുമ്പോഴോ മാറിടങ്ങൾ അനുഭവിക്കുക
step5_breast_exam_note,"Seek help if you find a new lump, thickening, or any change. Monthly self-exams help you know what's normal for your body.","പുതിയ മുഴ, കട്ടിയാകൽ, അല്ലെങ്കിൽ ഏതെങ്കിലും മാറ്റം കണ്ടെത്തിയാൽ സഹായം തേടുക. പ്രതിമാസ സ്വയം പരിശോധനകൾ നിങ്ങളുടെ ശരീരത്തിന് എന്താണ് സാധാരണ എന്ന് അറിയാൻ സഹായിക്കുന്നു."
bmi_page_badge,BMI Tool,BMI ടൂൾ
bmi_page_title,BMI Calculator,BMI കാൽക്കുലേറ്റർ
bmi_page_subtitle,Calculate your Body Mass Index instantly,നിങ്ങളുടെ ബോഡി മാസ് ഇൻഡക്സ് തൽക്ഷണം കണക്കാക്കുക
bmi_page_input_title,Enter your measurements,നിങ്ങളുടെ അളവുകൾ നൽകുക
bmi_page_input_description,We'll calculate your BMI and show what it means,ഞങ്ങൾ BMI കണക്കാക്കി അതിന്റെ അർത്ഥം കാണിക്കും
bmi_page_calculate,Calculate BMI,BMI കണക്കാക്കുക
bmi_page_your_bmi,Your BMI,നിങ്ങളുടെ BMI
bmi_page_categories_title,BMI Categories,BMI വിഭാഗങ്ങൾ
bmi_page_about_title,About BMI,BMI-നെ കുറിച്ച്
bmi_page_about_description,"BMI is a screening tool, not a diagnostic measure. It doesn't account for muscle mass, bone density, or overall body composition. For a complete health assessment, consult a healthcare provider.","BMI ഒരു സ്ക്രീനിംഗ് ഉപാധി മാത്രമാണ്, രോഗനിർണയമല്ല. ഇത് മസിൽ, അസ്ഥി, ശരീര ഘടന എന്നിവ കണക്കിലെടുക്കുന്നില്ല. കൃത്യമായ ആരോഗ്യ വിവരങ്ങൾക്ക് ഡോക്ടറെ സമീപിക്കുക."
bmi_page_cta_title,Want a complete health check?,സമ്പൂർണ്ണ ആരോഗ്യ പരിശോധന വേണോ?
bmi_page_cta_description,Take our full assessment for personalized risk scores and guidance.,വ്യക്തിഗത റിസ്ക് സ്കോറുകൾക്കായി പൂർണ്ണ വിലയിരുത്തൽ എടുക്കുക.
bmi_category_underweight,Underweight,ഭാരക്കുറവ്
bmi_category_underweight_desc,You may need to gain some weight. Consider consulting a healthcare provider.,നിങ്ങൾക്ക് അല്പം ഭാരം വർദ്ധിപ്പിക്കേണ്ടി വന്നേക്കാം. ഒരു ആരോഗ്യ ദാതാവിനെ സമീപിക്കുന്നത് പരിഗണിക്കുക.
bmi_category_normal,Normal range,സാധാരണ പരിധി
bmi_category_normal_desc,Great! Your weight is within the healthy range. Keep up the good habits!,നന്നായി! നിങ്ങളുടെ ഭാരം ആരോഗ്യകരമായ പരിധിക്കുള്ളിലാണ്. നല്ല ശീലങ്ങൾ തുടരുക!
bmi_category_overweight,Overweight,ഭാരക്കൂടുതൽ
bmi_category_overweight_desc,You may benefit from lifestyle changes. Small steps can make a big difference.,ജീവിതശൈലി മാറ്റങ്ങൾ നിങ്ങൾക്ക് ഗുണം ചെയ്യും. ചെറിയ മാറ്റങ്ങൾ വലിയ വ്യത്യാസം ഉണ്ടാക്കും.
bmi_category_obese_1,Obese class I,ഒബീസ് ക്ലാസ് I
bmi_category_obese_1_desc,Consider consulting a healthcare provider for personalized guidance and weight management strategies.,വ്യക്തിഗത മാർഗ്ഗനിർദ്ദേശത്തിനും ഭാര നിയന്ത്രണ തന്ത്രങ്ങൾക്കും ഒരു ആരോഗ്യ ദാതാവിനെ സമീപിക്കുന്നത് പരിഗണിക്കുക.
bmi_category_obese_2,Obese class II,ഒബീസ് ക്ലാസ് II
bmi_category_obese_2_desc,It's important to consult a healthcare provider for comprehensive health assessment and support.,സമഗ്രമായ ആരോഗ്യ വിലയിരുത്തലിനും പിന്തുണയ്ക്കും ഒരു ആരോഗ്യ ദാതാവിനെ സമീപിക്കുന്നത് പ്രധാനമാണ്.
bmi_category_obese_3,Obese class III,ഒബീസ് ക്ലാസ് III
bmi_category_obese_3_desc,Please consult a healthcare provider urgently for specialized medical guidance and intervention.,പ്രത്യേക വൈദ്യസഹായത്തിനും ഇടപെടലിനും ദയവായി ഒരു ആരോഗ്യ ദാതാവിനെ സമീപിക്കുക.
bp_page_badge,BP Tool,BP ടൂൾ
bp_page_title,Blood Pressure Interpreter,രക്തസമ്മർദ്ദ വ്യാഖ്യാതാവ്
bp_page_subtitle,Understand what your BP reading means,നിങ്ങളുടെ BP റീഡിംഗ് എന്താണ് അർത്ഥമാക്കുന്നതെന്ന് മനസ്സിലാക്കുക
bp_page_input_title,Enter your BP reading,നിങ്ങളുടെ BP റീഡിംഗ് നൽകുക
bp_page_input_description,Enter the numbers shown on your BP monitor,BP മോണിറ്ററിൽ കാണിക്കുന്ന നമ്പറുകൾ നൽകുക
bp_page_systolic,Systolic (top no.),സിസ്റ്റോളിക് (മുകളിലെ നമ്പർ)
bp_page_diastolic,Diastolic (bottom no.),ഡയസ്റ്റോളിക് (താഴത്തെ നമ്പർ)
bp_page_unit,mmHg,mmHg
bp_page_check_reading,Check Reading,റീഡിംഗ് പരിശോധിക്കുക
bp_page_your_reading,Your Reading,നിങ്ങളുടെ റീഡിംഗ്
bp_page_invalid_range,"The values you entered seem unusually high (Systolic > 250 or Diastolic > 150). Please double-check your BP monitor reading. If the values are correct, seek immediate medical attention.","നൽകിയ മൂല്യങ്ങൾ അസാധാരണമായി ഉയർന്നതാണ് (സിസ്റ്റോളിക് > 250 അല്ലെങ്കിൽ ഡയസ്റ്റോളിക് > 150). ദയവായി റീഡിംഗ് വീണ്ടും പരിശോധിക്കുക. ശരിയാണെങ്കിൽ, ഉടൻ വൈദ്യസഹായം തേടുക."
